Episode 0: 6.57521s
Episode 1: 18.5728s
Episode 2: 26.9361s
Episode 3: 39.2589s
Episode 4: 51.5698s
         4570157 function calls (4444311 primitive calls) in 53.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7040    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py:167(<genexpr>)
    12415    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {built-in method _cudnn_rnn_flatten_weight}
     2479    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     3080    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/parameter.py:129(is_lazy)
     8488    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    13217    0.002    0.000    0.002    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.002    0.002 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:18(__init__)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.9/multiprocessing/context.py:132(Value)
      554    0.002    0.000    0.002    0.000 {method 'put' of 'numpy.ndarray' objects}
      880    0.002    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1384(<dictcomp>)
