Episode 0: 3.31092s
Episode 1: 11.1919s
Episode 2: 19.8075s
Episode 3: 27.6878s
Episode 4: 35.88s
         4956584 function calls (4830750 primitive calls) in 37.703 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:39(__init__)
      220    0.010    0.000    0.010    0.000 {built-in method torch._C._nn.mse_loss}
      220    0.001    0.000    0.009    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:560(__init__)
        1    0.000    0.000    0.009    0.009 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:193(reset_parameters)
       13    0.000    0.000    0.009    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/init.py:122(uniform_)
       13    0.000    0.000    0.009    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/init.py:12(_no_grad_uniform_)
       14    0.009    0.001    0.009    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
      880    0.009    0.000    0.009    0.000 {built-in method torch._ops.profiler._record_function_enter}
      440    0.008    0.000    0.008    0.000 {built-in method stack}
      880    0.004    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1257(_save_to_state_dict)
      554    0.001    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2675(amax)
    60654    0.008    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_jit_internal.py:957(is_scripting)
      880    0.001    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:426(__init__)
      222    0.000    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1735(eval)
      220    0.003    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:494(__init__)
      561    0.002    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     1845    0.005    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1188(__setattr__)
     5217    0.002    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:131(total_training_timesteps)
