Episode 0: 2.34267s
Episode 1: 7.95833s
Episode 2: 14.4301s
Episode 3: 20.4294s
Episode 4: 26.5074s
         4797143 function calls (4671382 primitive calls) in 26.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      889    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    24530    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    26012    0.002    0.000    0.002    0.000 {built-in method torch._C._has_torch_function_unary}
       24    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       54    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
       54    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
       24    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     3174    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:706(__hash__)
      530    0.000    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1866(nonzero)
       14    0.000    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/parameter.py:28(__deepcopy__)
     8480    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      220    0.000    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:82(clone)
     1000    0.002    0.000    0.002    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
    12412    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      530    0.000    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:486(put)
      220    0.002    0.000    0.002    0.000 {built-in method ones_like}
       14    0.002    0.000    0.002    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
      880    0.002    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1384(<dictcomp>)
       57    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     2473    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      440    0.002    0.000    0.002    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
     7040    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py:167(<genexpr>)
    13217    0.002    0.000    0.002    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      220    0.002    0.000    0.002    0.000 {built-in method broadcast_tensors}
        1    0.000    0.000    0.002    0.002 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:18(__init__)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.9/multiprocessing/context.py:132(Value)
     3080    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/parameter.py:129(is_lazy)
      530    0.002    0.000    0.002    0.000 {method 'put' of 'numpy.ndarray' objects}
